Gene,Sample,RPKM
SARO_RS00645,Glu_01_HTSeq,40.1209500978922
SARO_RS00650,Glu_01_HTSeq,18.9883972184157
SARO_RS00655,Glu_01_HTSeq,41.0942453754849
SARO_RS00660,Glu_01_HTSeq,51.7474685309766
SARO_RS00665,Glu_01_HTSeq,59.9927779545972
SARO_RS00675,Glu_01_HTSeq,45.6701579550024
SARO_RS00680,Glu_01_HTSeq,12.7678329716667
SARO_RS00685,Glu_01_HTSeq,40.6831866840538
SARO_RS00690,Glu_01_HTSeq,173.553950576319
SARO_RS00695,Glu_01_HTSeq,70.7887448302537
SARO_RS00700,Glu_01_HTSeq,562.308855673363
SARO_RS00705,Glu_01_HTSeq,46.9939142660248
SARO_RS00710,Glu_01_HTSeq,24.0252709726921
SARO_RS00715,Glu_01_HTSeq,41.1917265176045
SARO_RS00720,Glu_01_HTSeq,13.0910692494304
SARO_RS00725,Glu_01_HTSeq,73.3715774118981
SARO_RS00730,Glu_01_HTSeq,19.4171173479404
SARO_RS00735,Glu_01_HTSeq,58.7926655888852
SARO_RS00740,Glu_01_HTSeq,6.01704331057156
SARO_RS00745,Glu_01_HTSeq,20.3385572833191
SARO_RS00750,Glu_01_HTSeq,51.4924152906815
SARO_RS00755,Glu_01_HTSeq,10.3300317682157
SARO_RS00760,Glu_01_HTSeq,99.6240202593605
SARO_RS00765,Glu_01_HTSeq,29.6156993677592
SARO_RS00770,Glu_01_HTSeq,51.091007138357
SARO_RS00785,Glu_01_HTSeq,24.1222792892902
SARO_RS00790,Glu_01_HTSeq,22.1007114141402
SARO_RS00795,Glu_01_HTSeq,86.4704948550525
SARO_RS00800,Glu_01_HTSeq,34.1738768146052
SARO_RS00805,Glu_01_HTSeq,24.1461608425229
SARO_RS00810,Glu_01_HTSeq,15.1106743772272
SARO_RS00815,Glu_01_HTSeq,129.716609542672
SARO_RS00820,Glu_01_HTSeq,28.7319023134559
SARO_RS00825,Glu_01_HTSeq,246.22523458651
SARO_RS00830,Glu_01_HTSeq,46.7944003402444
SARO_RS00835,Glu_01_HTSeq,479.250417495356
SARO_RS00840,Glu_01_HTSeq,19.3116663528148
SARO_RS00845,Glu_01_HTSeq,72.0900085219863
SARO_RS00850,Glu_01_HTSeq,12.0727768258074
SARO_RS00855,Glu_01_HTSeq,95.0297743099161
SARO_RS00860,Glu_01_HTSeq,4.55070502480202
SARO_RS00865,Glu_01_HTSeq,3.6188759825940102
SARO_RS00870,Glu_01_HTSeq,5.88030511507274
SARO_RS00875,Glu_01_HTSeq,4.81943870367027
SARO_RS00880,Glu_01_HTSeq,1.39256547207056
SARO_RS00885,Glu_01_HTSeq,7.37733059246409
SARO_RS00890,Glu_01_HTSeq,14.6516239299827
SARO_RS00895,Glu_01_HTSeq,12.9284833372619
SARO_RS00900,Glu_01_HTSeq,2.21214827594542
SARO_RS00905,Glu_01_HTSeq,1.86602983821247
SARO_RS00910,Glu_01_HTSeq,49.5246838831813
SARO_RS00915,Glu_01_HTSeq,45.9266034056081
SARO_RS00920,Glu_01_HTSeq,121.092390557231
SARO_RS00925,Glu_01_HTSeq,59.5368301427288
SARO_RS00930,Glu_01_HTSeq,75.078971789663
SARO_RS00935,Glu_01_HTSeq,261.556051272413
SARO_RS00945,Glu_01_HTSeq,16.6807937564533
SARO_RS00950,Glu_01_HTSeq,11.7740463340115
SARO_RS00955,Glu_01_HTSeq,39.9208804385135
SARO_RS00965,Glu_01_HTSeq,33.9280341293573
SARO_RS00970,Glu_01_HTSeq,25.8836396913342
SARO_RS00975,Glu_01_HTSeq,131.725817176539
SARO_RS00980,Glu_01_HTSeq,104.860913678148
SARO_RS00990,Glu_01_HTSeq,57.7144970605844
SARO_RS00995,Glu_01_HTSeq,47.5283342455602
SARO_RS01000,Glu_01_HTSeq,167.298865887649
SARO_RS01005,Glu_01_HTSeq,129.145581994037
SARO_RS01015,Glu_01_HTSeq,23.9568896259592
SARO_RS01020,Glu_01_HTSeq,136.388089193627
SARO_RS01025,Glu_01_HTSeq,4.61164461434877
SARO_RS01030,Glu_01_HTSeq,8.14834472866229
SARO_RS01035,Glu_01_HTSeq,3.04170387942496
SARO_RS01040,Glu_01_HTSeq,21.8904953892752
SARO_RS01045,Glu_01_HTSeq,13.5564984089989
SARO_RS01050,Glu_01_HTSeq,17.8041178462798
SARO_RS01055,Glu_01_HTSeq,16.6178152571656
SARO_RS01065,Glu_01_HTSeq,2.35962482767512
SARO_RS01070,Glu_01_HTSeq,3.31277377284438
SARO_RS01075,Glu_01_HTSeq,5.68838128100253
SARO_RS01080,Glu_01_HTSeq,144.68300550943
SARO_RS01090,Glu_01_HTSeq,24.0788988096847
SARO_RS01095,Glu_01_HTSeq,30.5329766858202
SARO_RS01100,Glu_01_HTSeq,20.911249173511
SARO_RS01110,Glu_01_HTSeq,1370.13478480662
SARO_RS01115,Glu_01_HTSeq,4.65715426514827
SARO_RS01120,Glu_01_HTSeq,4.61336905410841
SARO_RS01125,Glu_01_HTSeq,71.0397687480915
SARO_RS01135,Glu_01_HTSeq,228.732805193996
SARO_RS01140,Glu_01_HTSeq,113.595551259019
SARO_RS01145,Glu_01_HTSeq,13.2396242680643
SARO_RS01150,Glu_01_HTSeq,24.7838913039549
SARO_RS01155,Glu_01_HTSeq,13.8768412484703
SARO_RS01160,Glu_01_HTSeq,51.5149718781412
SARO_RS01165,Glu_01_HTSeq,20.1077663886601
SARO_RS01170,Glu_01_HTSeq,7.75305300521826
SARO_RS01175,Glu_01_HTSeq,20.969953519921
SARO_RS01180,Glu_01_HTSeq,17.4731711922778
SARO_RS01185,Glu_01_HTSeq,53.9072605921771
SARO_RS01190,Glu_01_HTSeq,13.242516910465
SARO_RS01195,Glu_01_HTSeq,12.1994208777761
SARO_RS01200,Glu_01_HTSeq,86.4581284515338
SARO_RS01205,Glu_01_HTSeq,27.3885024640862
SARO_RS01210,Glu_01_HTSeq,9.76396480417292
SARO_RS01215,Glu_01_HTSeq,8.96350989733732
SARO_RS01220,Glu_01_HTSeq,3.61106160390417
SARO_RS01225,Glu_01_HTSeq,2.25668817411882
SARO_RS01230,Glu_01_HTSeq,1.90433543606433
SARO_RS01235,Glu_01_HTSeq,27.7709691257149
SARO_RS01240,Glu_01_HTSeq,22.5697595025974
SARO_RS01245,Glu_01_HTSeq,15.9200629063855
SARO_RS01250,Glu_01_HTSeq,10.0067859184128
SARO_RS01255,Glu_01_HTSeq,10.3593285117444
SARO_RS01260,Glu_01_HTSeq,2.69850711675612
SARO_RS01265,Glu_01_HTSeq,2.0017382856884
SARO_RS01270,Glu_01_HTSeq,2.07264342971463
SARO_RS01275,Glu_01_HTSeq,21.1462897839795
SARO_RS01280,Glu_01_HTSeq,9.68336603810074
SARO_RS01285,Glu_01_HTSeq,42.8009725686626
SARO_RS01290,Glu_01_HTSeq,43.9437377327903
SARO_RS01295,Glu_01_HTSeq,4.57747993556121
SARO_RS01300,Glu_01_HTSeq,59.0733178236891
SARO_RS01305,Glu_01_HTSeq,53.9666942043829
SARO_RS01310,Glu_01_HTSeq,39.9918620704725
SARO_RS01315,Glu_01_HTSeq,28.8398590049181
SARO_RS01320,Glu_01_HTSeq,64.0945917865232
SARO_RS01325,Glu_01_HTSeq,53.9041845199763
SARO_RS01330,Glu_01_HTSeq,273.952442493081
SARO_RS01335,Glu_01_HTSeq,98.2519368045327
SARO_RS01340,Glu_01_HTSeq,24.8603330058629
SARO_RS01345,Glu_01_HTSeq,24.4511848085175
SARO_RS01350,Glu_01_HTSeq,17.8902464207368
SARO_RS01355,Glu_01_HTSeq,73.4031018836437
SARO_RS01360,Glu_01_HTSeq,320.510119526184
SARO_RS01365,Glu_01_HTSeq,9.14030496434594
SARO_RS01370,Glu_01_HTSeq,234.21461252479
SARO_RS01375,Glu_01_HTSeq,401.879198173272
SARO_RS01380,Glu_01_HTSeq,25.7995124230744
SARO_RS01385,Glu_01_HTSeq,2.00544654837199
SARO_RS01390,Glu_01_HTSeq,12.877526985078
SARO_RS01395,Glu_01_HTSeq,35.2447133351474
SARO_RS01400,Glu_01_HTSeq,12939.7331026222
SARO_RS01405,Glu_01_HTSeq,15.6475120987778
SARO_RS01410,Glu_01_HTSeq,2.03278490222012
SARO_RS01415,Glu_01_HTSeq,4.81167735597346
SARO_RS01420,Glu_01_HTSeq,4.70762588772623
SARO_RS01425,Glu_01_HTSeq,264.401244683149
SARO_RS01435,Glu_01_HTSeq,188.40250365888
SARO_RS01445,Glu_01_HTSeq,25.4739778931406
SARO_RS01450,Glu_01_HTSeq,63.1199641403095
SARO_RS01455,Glu_01_HTSeq,43.9575270316898
SARO_RS01460,Glu_01_HTSeq,6.06163464589771
SARO_RS01465,Glu_01_HTSeq,713.589874969418
SARO_RS01470,Glu_01_HTSeq,4.42429655189085
SARO_RS01475,Glu_01_HTSeq,31.3346615479129
SARO_RS01480,Glu_01_HTSeq,79.3845209882131
SARO_RS01495,Glu_01_HTSeq,10.6306014371822
SARO_RS01500,Glu_01_HTSeq,15.4709478152107
SARO_RS01505,Glu_01_HTSeq,10.0027574216662
SARO_RS01510,Glu_01_HTSeq,13.329545374032
SARO_RS01515,Glu_01_HTSeq,49.8976877390767
SARO_RS01520,Glu_01_HTSeq,663.795740785402
SARO_RS01530,Glu_01_HTSeq,49.0930311950399
SARO_RS01535,Glu_01_HTSeq,32.2613777276634
SARO_RS01540,Glu_01_HTSeq,4.32071770284993
SARO_RS01545,Glu_01_HTSeq,1.41577489660507
SARO_RS01550,Glu_01_HTSeq,0.931430853029654
SARO_RS01560,Glu_01_HTSeq,1.08666932853459
SARO_RS01570,Glu_01_HTSeq,0.330788527244176
SARO_RS01580,Glu_01_HTSeq,1.22717714577994
SARO_RS01585,Glu_01_HTSeq,0.769442878589714
SARO_RS01590,Glu_01_HTSeq,0.939673603941421
SARO_RS01600,Glu_01_HTSeq,1.52085193971248
SARO_RS01605,Glu_01_HTSeq,2.1386327743279
SARO_RS01610,Glu_01_HTSeq,50.5267490273912
SARO_RS01615,Glu_01_HTSeq,6.33478824475281
SARO_RS01620,Glu_01_HTSeq,6.38668615151986
SARO_RS01630,Glu_01_HTSeq,5.66525777986024
SARO_RS01635,Glu_01_HTSeq,5.30199100955341
SARO_RS01640,Glu_01_HTSeq,5.68172820348089
SARO_RS01650,Glu_01_HTSeq,12.2318787022864
SARO_RS01665,Glu_01_HTSeq,9.23029712002327
SARO_RS01670,Glu_01_HTSeq,6.28349532762926
SARO_RS01680,Glu_01_HTSeq,1.1147833831536
SARO_RS01685,Glu_01_HTSeq,7.50922789452443
SARO_RS01690,Glu_01_HTSeq,26.6851272342393
SARO_RS01710,Glu_01_HTSeq,4.44746040818348
SARO_RS01715,Glu_01_HTSeq,6.35159285805701
SARO_RS01725,Glu_01_HTSeq,15.7702719500063
