Gene,FA_04_HTSeq,FA_05_HTSeq,FA_06_HTSeq,GDK_13_HTSeq,GDK_14_HTSeq,GDK_15_HTSeq,Glu_01_HTSeq,Glu_02_HTSeq,Glu_03_HTSeq,PCA_19_HTSeq,PCA_20_HTSeq,PCA_21_HTSeq,UN_16_HTSeq,UN_17_HTSeq,UN_18_HTSeq,V_08_HTSeq,V_09_HTSeq,VA_10_HTSeq,VA_11_HTSeq,VA_12_HTSeq
accB,366.064801621433,142.856871016904,343.390658478977,271.012643565993,405.807685217355,259.723046363292,140.383201020733,360.880783661803,145.218682601192,128.805385203294,288.674430882883,433.894321452456,496.032767190568,224.115871042324,325.144145541151,374.970754938768,151.526517103914,423.227796803806,275.382976811204,300.517871123091
accC,577.388107428919,293.113600581295,695.410637112615,331.736620917967,454.000056805848,210.4898512308,238.813477130571,638.398201254756,227.628913519255,225.971487382191,581.233295154105,655.238952165241,366.93644890399,356.450242074954,517.777771177441,638.369685280638,307.14212664419,693.932662064744,455.529880046976,485.453739707749
acnA,986.647759236946,410.89657755784,842.853186288297,1098.86711662095,1008.89965480818,474.844174451718,427.076204079718,914.212904319582,444.793583469891,402.053793481944,892.887321550048,938.546154522852,853.056850287024,661.130122412538,982.435489878345,731.980015278188,523.076672185586,820.632359257668,614.365983731153,760.899822562505
acs,62.0397426591474,31.0005003845473,76.4805100846533,92.5116490578676,100.043316892053,63.7175924343359,46.6933451476481,99.9962466802588,43.8777072593072,44.7879594075465,125.333091598933,143.389905514231,626.905611951662,577.577100652601,989.982550569821,64.5184943166032,31.416192401781,110.266910176083,73.5980601705428,85.9868513829123
addA,69.3782194684819,29.1869649866107,79.6338884756302,53.189470312613,64.3044699985534,72.0751218928872,29.0739487695684,65.1206461062312,21.4614659842579,29.6736911552272,78.2882406645662,93.0144420311365,121.251871851344,46.541342835746,73.2475603469076,85.4058653420651,35.8261239190363,87.9643338833427,63.7031587687764,104.568276466669
addB,54.5965814998226,17.0792199324607,63.0558799826543,50.9415561497045,77.4233275246558,103.836096615884,20.3677877479402,50.2831162205851,14.9146416942036,24.7870161220804,56.381629962852,99.3232543953346,164.916710310877,42.3540556224573,63.510795836154,82.6899006946519,30.464636273862,75.2231996603283,58.0015831764134,102.593646953994
aguB,102.04027267035,68.905705858734,146.210429944659,122.125913607559,151.284694463983,61.8153440954598,66.911622763579,163.89578537413,68.1598361345309,52.9593520318624,178.510953643052,163.598533728893,89.2334378185041,87.9218263817279,162.044720061964,131.859532412602,60.1489798818089,166.011974760122,111.198736038479,102.11456511603
ahpC,1860.68889203196,1128.36614807576,2402.50522660056,1327.65332064748,2121.14439723387,261.940876579402,812.187886164134,2114.16174667018,939.690553014811,3490.54397308358,1737.31465684215,1702.3063584329,408.764270205005,999.014585166702,1583.66225352865,2049.70487396618,1182.06763576806,1918.1499717371,1285.08472229159,840.153881596785
ald,58.7947260483992,68.8657542055374,33.5581937848407,33.2709709786359,42.9291598898978,36.7979930418799,42.0070307023615,98.0793119336744,41.6303736476674,17.3526051668698,36.8769115298123,33.8182493656638,35.932009228353,12.4983484290954,15.3241496560169,119.979765031515,71.6149043909329,23.2870601362708,15.9595306038504,26.8905911239175
alr,52.7454157370119,28.3823991370119,64.6444801203529,66.6122785588863,77.6298681800644,33.1989088565343,35.642232165933,80.1264189586772,39.9060975777485,30.4345550310023,89.8363743752619,93.1960151012815,42.6860427698388,47.8004985261256,79.919157062855,72.9533906920248,30.9374851609765,95.6450681914186,66.9049074287032,62.4900464933829
argB,235.848564519066,101.501251352706,295.251047527808,312.262269702543,385.811867917927,234.92830020503,123.065301456543,302.698724995087,91.370054018237,100.809457856801,285.231351457192,360.366967083359,310.936930363113,232.51970066567,321.196253016749,347.525289684783,142.43024782138,348.712095429946,245.41601890384,288.968549948953
argC,176.604658367879,49.8300263266336,172.789845268414,154.17642400666,237.530215421925,208.655201440027,49.3237705914025,147.018886969967,36.8895481788939,63.2940568660876,125.356327248099,222.582447347815,312.22224044806,96.3334240457968,151.11735700389,211.277308587261,84.5675773035527,207.441811608065,136.827605731971,261.094834769847
argF,308.555711636331,87.8690653689139,241.138717060871,349.413604383882,362.874110880157,417.578994768318,109.870031038622,278.330841744276,98.1242607992961,120.348180350958,245.65406004245,321.857694446055,529.315139200381,199.128378014869,268.639462838819,295.754644926555,150.740150516222,301.872082611521,203.2658046317,383.597237392697
argH,196.076744672118,75.8912339057883,206.430942525738,179.406967070572,226.920849877758,163.173735856323,84.8006167733353,207.147987650789,68.4418112855678,84.8470501645209,184.435611393748,234.314363988587,256.421818313481,143.745158481649,208.992425595871,225.146154964843,98.8600549933724,227.484383295501,175.831191284361,241.790329114221
aroA,61.9314978439395,15.3116658334213,60.5099152725516,95.7168879934343,114.366148072967,126.156796002513,25.5848461236041,57.9790114824468,16.4588160222465,28.9920122077002,47.3494691892523,106.914666667201,168.83971686347,50.9187599741968,68.444801940158,83.8715082506172,35.2852086673268,84.8339055689271,72.4396469523973,129.145525869639
aroE,58.6015217295546,32.1917466189295,75.869092155614,47.0794054747942,64.8078945523854,19.8382645535223,36.0025231439091,77.6160288841842,38.9193668154918,26.6851433545025,83.9860923085638,75.0517724160903,29.6249938068613,37.0461978360543,68.9516346980238,68.0870008406862,33.2620900134765,88.111969130256,64.5076599605489,56.6106127981017
aroQ,267.963777923896,180.29118436192,380.247500075444,329.924310491634,370.157391898324,139.023118243828,186.582254585701,443.391661693401,190.702451648491,175.01884676272,439.362274557348,416.569164371752,190.594594412455,255.291568807795,407.798622135846,367.445625544121,196.121276282828,430.061468685719,283.404314000558,240.276887071926
arsB,21.7561188747404,8.18571621988209,27.2347736946358,12.1695892784997,12.6902991421115,6.03657307444888,9.42188223444926,18.2654746196687,9.54758847487681,8.46166361002796,22.8164256925693,20.2372736963327,12.0194277049946,7.3399989598142,13.7526282981819,15.7772894000017,13.2481484397356,16.3868889915438,11.5036473299886,18.7855397147367
arsC,124.406932666555,81.8382662703354,195.615496614929,196.993663652718,228.932075267856,162.661113348737,95.0059470090247,180.979682734756,81.9429849528633,102.316168558172,154.012608778181,189.338828134344,265.821714764596,118.542750658609,195.069477747359,187.004993521566,85.9705116492521,235.733397845077,177.909680677301,210.31722147211
astD,57.7779634395643,20.3330799445972,75.578088748593,55.4950645608636,84.1900478372301,59.3008216237801,28.4204812401124,66.6513553122432,16.6387154462185,30.1282750810081,64.4764650308658,90.0396705073983,54.8859308411339,44.9762461187269,62.0616488879821,104.201768014908,42.2995488523488,73.7483591653218,49.7314421853697,74.9339202414979
atpC,2569.04324585536,1406.72585258506,2652.05373257795,2041.98212054575,2250.72173998804,719.582717043791,1261.64475161129,2803.80218115852,1405.67886906277,1090.22946144196,2569.10223547172,2079.52890648432,1606.92104356393,1344.73349616199,2264.54800372647,2317.71362459894,1427.86317637971,2682.94919934288,1987.62770270559,2155.56526966198
atpD,3045.56604692733,1213.3158987224,2693.33666130603,2425.52229029549,2530.41187592744,1006.16239232831,1076.73793096059,2607.84535127397,1111.04613600796,1114.55823621885,2336.9119169369,2609.64169476839,1855.4985158215,1731.78007147984,2523.00184457781,2403.78419630765,1479.98540068873,2559.12567959368,1823.38967333167,2181.44806445368
atzF,15.0019975246588,3.43475135319093,14.3151021679578,10.7526841288805,14.6394578881938,25.351101244166,4.82923216850459,9.78079060203332,3.45618229619696,5.63297188031432,8.64976577029461,15.0449456956013,13.7998911829136,9.0060738317162,8.75320365818938,22.6648116052355,8.94847598821727,11.628260809355,16.3444856772969,19.0404484205108
bamA,402.021107138638,280.818712721024,542.936188548584,389.980845135814,462.336664588958,161.614374958451,246.197941457096,579.477425021296,265.128113400302,205.916974486248,599.407553821535,511.900770939061,286.228291558392,320.933138521132,572.668627250805,505.884918533037,250.744534755726,590.235287353964,350.259247736322,296.446648054095
benB,3.16429949218815,1.18012071883452,2.74396045454681,30.5119526538294,34.3297172833323,16.7378399305391,0.546209450850723,1.72361602604529,0.340198123916618,54.641298338068,2.02307920666648,1.37968793238372,1.07505589198112,0.946150918930298,1.3936153702575,0.864342243364292,0.374599179299573,1.36612383064903,1.48285940528176,2.94041737157476
benD,7.24912247301286,2.02766196236114,11.7865574070306,29.0431417619396,33.0700311107977,44.5626581435139,1.94400909098234,2.70294331357103,0.626273819028319,6.89965196441472,5.49778342850599,7.98248018022013,4.78277706489331,5.32209891898293,4.06207207353464,12.3316100743621,4.13761820771801,6.70642607773162,9.87931006376031,17.4420212268411
bioB,236.540693804276,138.163376931114,301.328363193427,246.607158920132,300.85925369785,112.21476203906,127.003336313102,315.638995290581,127.8230127442,115.114228734908,356.591389673485,310.086933163285,171.110051445954,193.634953610323,298.807530858152,267.98604403401,125.534795557039,366.993669060406,234.551686962695,198.366980327749
bluB,82.5882167461108,27.0837704972524,77.6883803693567,49.5518916130104,33.5146262305158,59.7297916876095,5.73519923393259,15.0816402278963,4.72024896934307,4.43837260868783,11.7049582671417,16.2606077745224,65.3096454378534,18.3316740542745,30.0498314211773,38.8954009513931,26.2687674483825,18.0035604824819,14.4578792014971,25.9124280870025
bphC,34.7440084242259,13.89238110212,38.2782483409281,94.0584997163325,76.2234795368023,67.4966893457,32.0908976563816,64.3253500920105,36.6495438895372,31.1041152416843,73.9753362483361,85.5721875319598,40.782245262304,34.912968908528,59.9219768826469,27.1878852650238,14.2609907559347,66.7097782560647,46.099980539631,49.2225868001615
catC,3.52313757893114,1.57673860990675,3.4370226312107,76.2365372745247,63.0996139711034,19.8382645535223,0.547335655904023,1.91907763724631,0.284082969456145,54.3586253517644,0.965357382857055,1.31669776168579,0,0,1.16374067000884,1.80442581733267,0.31280962395119,1.30375293410983,0.353789725560597,1.63693338211378
ccmA,73.510632577896,22.7025723285792,104.377683228034,69.9357379356351,109.551833488483,69.0182804797081,31.2465943977291,81.4408572306404,24.2550631161176,33.1213555923329,96.8097590011519,113.750342568136,126.99097724027,46.435313068126,76.4310929625598,108.664026407954,46.3039704287332,101.10536100223,68.8139442763568,129.217560274281
ccmB,40.2052170772142,13.4950275142018,44.0834008772329,23.0706758549032,36.8333507008205,84.8961027216911,9.20894304918459,27.2346930450234,6.23440000842671,16.0504406735896,25.4225337928871,40.0207603605606,104.416627698528,19.8820129751688,27.1991470396523,49.8952315371944,23.8895965296298,33.1896561416375,31.2119379151808,83.5224889143011
ccoG,70.3714376046382,18.1035335088477,42.6377855120805,59.9697401428552,41.7217026967745,42.2170415575212,15.4940671082545,30.2019738767856,14.6778133422882,13.3694652457617,35.5448528602183,36.5565010702326,51.5368630666054,30.6552897733416,46.3050037615558,35.0773013886135,27.4940507843466,34.7130870507426,24.4425379171487,37.6703470409399
ccoN,326.99144719602,204.482031963826,689.588750298405,115.557078980683,107.469401609933,68.5091914660884,32.2353118534853,81.1512332262639,41.1082028096621,32.82940526295,124.170631963267,110.504279361881,150.684063548174,212.930488771723,527.660475332947,638.267153317124,563.519985069607,107.05675789503,139.145692390701,166.953042072937
ccoO,101.293023904333,41.1418405482968,124.466046218243,81.110860720898,67.1098026356629,55.1052884938976,23.0771308146627,46.041231287722,27.996944805842,20.7076712430939,60.678503656863,61.3054477840906,83.9446642694543,71.5290094711305,164.244539461697,128.401497620739,124.647127713574,57.4146717123287,45.9855885283664,56.8441486272832
ccoP,55.810845978451,9.93140552993213,38.7272600516721,63.3094156173971,50.9416340954331,84.7708133138964,10.4574282135602,20.0454305366696,7.15741507460937,15.3556164020057,23.2579040892557,50.5902639993172,108.708046194176,30.7714082952104,47.1872282226393,52.3951358919903,30.3425335232654,31.5133592734226,25.961044114919,57.4813408904273
ccoS,2.73395476125056,1.52943645160954,0.74086932272764,2.3352455101986,0,0.874687118950756,0.353943724151268,0,0,0,0.936396661371343,0,1.74159054500942,2.04368598488944,0,0,0.606850670465309,0.632320173043267,0.686352067587559,0.793912690325185
clpA,205.822319352659,92.7690962451693,207.312613761996,255.659812161086,306.422963904955,144.714943261461,93.9981693647631,237.128702660138,94.0658537664881,106.708999758132,281.037081218637,272.873988304423,171.523608531193,159.236125840298,288.185775137441,203.281197027804,118.156044791732,216.168977190453,151.161902401219,163.387832359483
clpB,102.046450972259,47.0390629593866,119.529788986581,105.629128310146,118.135795983321,131.762460767523,30.1263727998521,75.1817260104782,28.1007606147265,34.2601078203643,88.7399161648424,104.069264861195,156.945659579337,68.7664688229515,122.628834805475,125.166304805791,71.1638257167749,77.6062724008336,62.6096740723767,91.4384325310577
clpP,606.161791874728,290.171682715328,616.553961795375,582.986785208478,743.821376513448,450.871559408303,288.554120875864,707.792696254669,329.037895631184,293.970720003903,696.544211456522,835.04860461557,770.985899109575,382.866383927646,678.014545654833,551.342308485998,307.796717180921,744.985695401189,513.600742101537,629.074885978007
cobA,126.187612167005,26.8464909059122,106.9746517246,100.275532546245,113.279943019042,149.898024640303,52.7492532801842,147.564202214346,40.2947240157795,61.6873698587762,112.747953907864,186.329924206763,227.046813798134,66.5087363554447,94.6512829855643,125.330461208754,55.403001249444,143.525671772973,97.5761643475543,219.669652516475
cobD,52.7170298995081,17.3689944031368,71.2823796315238,18.6623195347101,20.8762530105681,32.4213679737267,4.57782103791861,9.68922321265843,2.60782788996019,5.04042315182214,12.2588206457131,11.986310933075,32.8265094840104,11.5239391103781,19.8524246316729,39.4230041819641,14.5491012477487,15.458931675348,13.9652076843525,30.1787000581024
cobH,56.631920054476,29.3141986558496,96.6658068701778,35.028682652979,31.0693530720661,36.0287789472573,5.56197280809136,13.4442050031533,4.33023612013866,7.15212043228554,12.7082404043253,15.8129131189122,39.1857872627121,21.0450997253496,42.1966825322967,61.8436875127151,29.4756039940293,23.3356254337396,20.7539791865761,29.6772124716795
cobI,177.679275388184,70.2546012324711,195.306404792225,54.1093471875285,45.9725386920003,46.7566488382213,12.0139434823702,31.2773249604317,8.96131643487677,8.18392607845854,23.9808901082905,17.2629246173866,67.9645090735386,33.2306664209665,60.6860010164265,82.3918432348414,48.4740474578996,36.2427416256507,23.9944218750122,48.5706747536343
cobJ,111.133141700059,51.5740198798568,132.236559347317,31.5288315007433,32.0327438649984,51.5319542947732,7.33953071398948,19.6011217845616,5.23351299932192,6.68852430332492,14.8807221380717,16.8312760389137,65.4784042115947,25.0509958419103,44.8468667114841,62.0065054701861,30.3425335232654,29.7778686142469,21.149220687291,35.0798630608802
cobM,59.0878581510737,22.1826660920468,83.7012669951838,23.6198496260545,22.0568689748256,33.5519295628057,5.06598841819563,10.4206404017395,2.31386662908173,7.31823269829444,11.0795024818746,11.3339031566484,32.2393669591439,14.9181276568742,28.7592744394646,43.5569108364074,20.9618265943169,16.8940504248201,18.0756842227257,26.3627496405691
cobO,239.875097772403,154.224273768761,330.200848861625,93.4843098979025,69.8688801142158,40.8047818649276,21.1688830234012,60.8626137426522,19.381526609929,15.9016909539973,43.4595579679523,38.3464598131149,41.4565213465162,46.9363288395662,94.7891832339498,135.33366302322,79.8487724296459,56.2734699454774,38.4225798601647,32.4782464223939
cobS,418.349423137844,268.11909660097,565.620875898946,314.103613731605,405.991882804094,141.367627634701,250.899557364721,620.027379644368,257.526858721174,178.935638455209,583.601344304219,494.47436859492,245.793283340015,285.928543757468,472.243828585606,542.323214366305,266.030714407345,658.135079190447,385.04980672458,364.18013317669
cobT,188.32140715076,68.0469607707638,179.762837257167,138.778891019217,144.913518618969,201.761779821533,58.6969173897045,144.411269843193,53.4190338010172,59.1394343444058,157.520963798484,166.380593247893,275.582719979643,101.101838447391,159.608450584266,159.009673041966,84.5990977046977,173.620115310185,103.970705153623,174.046855151268
cobW,265.119615914718,103.596443410304,277.456616730907,74.8476125063654,58.1554557502777,82.7339383167097,15.6299935166514,43.1345959338516,13.895784907671,12.2908779932893,33.4808492883486,30.3834573241427,93.9019973341977,48.8359435847869,87.6369665527313,119.578424976206,71.5772585677031,53.5940887408467,37.8373575721346,62.8796945613679
coxB,1910.16616275077,759.654551066337,1453.40539973475,1415.13774093251,1666.57689303053,1208.13203281022,676.080343361916,1592.67710912616,727.256240766778,634.807239058811,1461.66457236491,1610.2172722457,1745.7091712983,988.218834517656,1362.45017572411,1380.27163251861,843.440425099419,1495.00996588716,1016.82131310302,1391.814774539
cpaB,153.493545413621,68.8246403224296,165.001361565621,163.467185713902,184.296658687946,112.963468230384,85.5226812542251,201.398520029348,75.9607029615868,91.3602875209715,178.205721214468,208.509807870308,171.458914121083,133.512896415936,200.782703745366,188.000468226454,102.788272478038,187.49028386748,145.783307379062,160.259584930758
crtY,22.697306131936,6.22890785429953,26.4596186688443,19.6066978926448,33.7168668676808,23.5661316509289,8.60464692798823,21.3832063381559,8.28753324428453,10.4118214579744,22.412501544101,32.8902190884258,32.0819310922789,17.286817541358,23.1282520751945,39.2170922374573,13.4602216381403,28.367245858332,20.4701493841903,41.4864150207521
ctaD,4316.96555651374,2200.43255027306,4012.14294505205,3499.89563187757,3433.41184854648,1303.79650128503,1971.77459401072,4318.60414409258,2296.54943153751,1716.61431650574,4135.61331882743,3657.25198509183,1988.59943491884,2261.39480716963,3418.86648554459,3299.13139792687,2383.53266003541,3626.85598365892,2645.56415963012,2693.45103757659
cueR,17.6129777888257,14.4119973324745,20.2314315052548,26.9451405022915,32.7423182374851,7.40119869881409,17.5610540059667,39.8553059560936,25.2243824340944,13.0283306728867,46.4596805065012,34.8772980181925,8.03811020773581,18.2752689033383,37.7723365930946,30.1588955069264,15.871479073708,39.3984107819266,29.0379720902428,25.3441358834578
cydB,74.1985470114173,26.0647203089615,70.8609247113374,37.6350878019994,35.0813115768675,40.5823302936612,11.7449794350496,26.7393405121622,8.44059129068798,11.6117423924589,26.9952190665612,35.0941470986254,52.3000163666494,17.414291237609,25.5935579483776,66.1221816173684,38.3609808207049,27.7233469262213,26.4853575630634,44.1062605736214
cysK,308.686722226166,152.56878328556,298.042528195335,415.536333432398,351.713199482474,174.365732862732,171.998143076123,370.678834777742,155.790729099463,174.819664633963,362.165179324504,399.01966286486,192.37176608274,187.588333662033,309.136680073002,270.437434850274,179.675394588748,326.802076362068,218.914907831848,222.866340192592
dapD,693.008711356281,191.725783755339,624.182404398037,744.776514502625,853.186627753988,487.01329230151,265.33138464054,708.701663737654,208.737063882139,282.813102625588,544.614986801154,890.616717250275,899.407117172725,446.417657324288,632.748661475539,687.615123962129,370.612373748456,681.55081508735,530.452097949813,774.490183436872
dksA,754.071182514861,532.053955143256,1229.69780723323,1060.27268916206,1635.71005879407,407.615631249601,820.779302803072,2239.68694207886,943.749619053395,688.417699681652,2389.9535703628,2101.11399880931,754.689236170751,1085.95863118635,1878.24511526454,1026.83858511677,413.094753784065,2415.83501406824,1617.63761811812,1257.54732353142
dmpG,62.6613726936408,23.8490271578768,55.8064374066189,93.2746397705953,78.7300104619216,152.025937751064,30.1953437608064,63.7114334837178,29.0315527801955,28.4878005702638,72.3640835271052,80.6334466829761,88.8438013192218,35.5648682609198,63.2617680502309,53.3953362409429,35.8753254537017,59.6632059079899,44.1510121624703,61.9849343604106
dnaG,10.9512278077468,2.4012891148459,15.0917825000074,4.3872030519029,4.30268013558404,6.901718007824,1.51038787278721,2.54795412545826,0.931847035075954,2.88172598361181,4.07128983204931,4.98744333321322,2.94471831281787,2.05684982376151,1.86320315806165,8.6810025311805,4.44632938907754,5.44752484022783,6.68668278406559,10.5471492676051
dnaJ,338.949074786968,152.943645160954,383.33634350103,614.824752399253,555.723336347062,409.418192353203,184.863219513835,406.273124197178,171.298282785624,186.594337197331,511.065038007024,597.906721256172,504.900425152798,351.039466006076,557.042587979291,427.089975196089,235.374798307125,456.805444272418,315.558965111166,374.437713444925
dnaN,12.1582122795998,2.38974445563991,12.8227382779783,6.2684875474081,7.69265232313176,12.300287610245,2.80772665793073,4.40019283572141,1.52353150205927,2.15090364882564,4.61445470146936,5.83335090093009,4.08185283986584,3.25466818507033,4.74867737341348,6.73189631851035,3.86575547291603,6.7640018510638,6.10457367806242,7.82462026522418
dnaQ,68.4974535291582,51.3691156029728,83.4283280810691,65.4884066990477,95.9097420920303,42.2131609580582,46.8590713061136,119.918711516421,43.2510145280253,55.9929650494288,139.238112256086,118.973661120846,42.4039437045773,55.9792248034935,105.643619062096,91.1674376212872,35.0917996399504,138.010750812052,73.5590368088405,70.4166038375381
dprA,22.4496950142583,5.38963643186875,30.4426357344203,20.4955058075941,27.433577712569,23.030325738331,10.2606026416192,23.0212757521263,8.35475924533524,13.3434478639913,25.0286873584627,36.6854408282457,21.7698818126178,14.471579613745,23.3421308458488,33.7955518372876,13.8800951223448,31.2796681345871,28.293768743636,39.906781508367
efp,875.628995009572,628.451946206583,1348.53979913509,1168.45085634405,1176.33859131365,296.835309516267,729.632395185234,1629.64227994442,922.248160906129,476.114617414517,1689.74769877781,1162.55482624695,433.776474840778,804.021939666944,1350.24094507016,1251.45952561107,727.091029373994,1409.60310916188,952.86111510826,610.42595418354
